FirstName,LastName,HeightFeet,HeightInches,HomeTown,HomeState,PlayerID,Team ID,University,BirthDate
Matt,Vail,5,10,Grants, NM,1,1,UNM,0000-00-00
Chris ,McNeal,6,1,Jackson, TN,2,1,UNM,0000-00-00
Sam,Logwood,6,8,Indianapolis, IN,3,1,UNM,0000-00-00
Antino,Jackson,6,0,Houston, TX,4,1,UNM,0000-00-00
Mike,Mondragon,6,3,Taos, NM,5,1,UNM,0000-00-00
Joe,Furstinger,6,9,Rancho Santa Margarita, CA,6,1,UNM,0000-00-00
Makuach ,Maluach,6,5,Sydney, NSW,7,1,UNM,0000-00-00
Jachai,Simmons,6,7,Plainfield, NJ,8,1,UNM,0000-00-00
Carlton,Bragg,6,9,Cleveland, OH,9,1,UNM,0000-00-00
JaQuan,Lyle,6,5,Evansville, IN,10,1,UNM,0000-00-00
Dane,Kuiper,6,7,Wasilla, AK,11,1,UNM,0000-00-00
Vladimir,Pinchuk,6,10,Schwerin, Germany,12,1,UNM,0000-00-00
Vance,Jackson,6,8,Los Angeles, CA,13,1,UNM,0000-00-00
Troy ,Simons,6,3,Pittsburgh, PA,14,1,UNM,0000-00-00
Anthony ,Mathis,6,3,West Linn, OR,15,1,UNM,0000-00-00
Connor,MacDougall,6,9,Tempe, AZ,16,1,UNM,0000-00-00
Caleb,Morris,6,4,Vista, CA,17,2,Air Force,0000-00-00
Dane,Norman,6,9,San Diego,CA,18,2,Air Force,
CJ ,Siples,6,3,Cibolo,TX,19,2,Air Force,
Sid ,Tomes,6,4,Woodbury,MN,20,2,Air Force,
Christopher,Joyce,6,6,Jacksonville,FL,21,2,Air Force,
Ameka,Akaya,6,6,Hagerstown,MD,22,2,Air Force,
Lavelle,Scottie,6,6,Forth Worth,TX,23,2,Air Force,
LeSean,Brown,6,2,San Antonio,TX,24,2,Air Force,
Jacob ,Van,6,1,Mansfield,TX,25,2,Air Force,
Trevor,Lyons,6,3,Newport News,VA,26,2,Air Force,
Pervis,Louder,6,4,Raleigh,NC,27,2,Air Force,
Kobi,Betts,6,3,Pueblo,CO,28,2,Air Force,
Charles,O'Briant,6,8,Johns Creek,GA,29,2,Air Force,
Bryce,Hughes,6,3,San Antonio,TX,30,2,Air Force,
Jonathan,DeWane,6,8,Jacksonville,FL,31,2,Air Force,
Ryan ,Manning,6,6,Sacramento,CA,32,2,Air Force,
Frank,Toohey,6,7,Elmhurt,IL,33,2,Air Force,
Ryan ,Swan,6,7,Aurora,CO,34,2,Air Force,
James,Edwards,6,1,Allison Park,PA,35,2,Air Force,
Keaton,Van Soelen,6,7,Waukee,IA,36,2,Air Force,
Marcus,Dickinson,6,2,Norman,OK,37,3,Boise State,
Cam,Christon,6,6,Allen,TX,38,3,Boise State,
Lexus ,Williams,6,1,Chicago,IL,39,3,Boise State,
Justinian,Jessup,6,6,Longmong,CO,40,3,Boise State,
Matt,Serven,6,4,Huntington Beach,CA,41,3,Boise State,
Malek,Harwell,6,5,Pocatello,ID,42,3,Boise State,
Robin,Jorch,6,11,Berlin,Germany,43,3,Boise State,
Zach,Haney,6,11,Humble,TX,44,3,Boise State,
Chandler,Hutchinson,6,7,Mission Viejo,CA,45,3,Boise State,
Daniel,Holst,6,7,Ventura,CA,46,3,Boise State,
Derrick,Alston,6,8,Houston,TX,47,3,Boise State,
Casdon,Jardine,6,7,Twin Falls,ID,48,3,Boise State,
David,Wacker,6,10,Converse,TX,49,3,Boise State,
Alex,Hobbs,6,4,La Porte ,TX,50,3,Boise State,
Christian,Sengfelder,6,9,Leverkusen,Germany,51,3,Boise State,
Zo,Tyson,6,9,Fayetteville,NC,52,4,Colorado State,
Raquan,Mitchell,6,3,Homestead,FL,53,4,Colorado State,
Che,Bob,6,6,Charlotte,NC,54,4,Colorado State,
Prentiss,Nixon,6,1,Bolingbrook,IL,55,4,Colorado State,
Juan,Sabino II,5,11,Fountain,CO,56,4,Colorado State,
Lorenzo ,Jenkins,6,7,Naples,FL,57,4,Colorado State,
Robbie,Berwick,6,4,Atascadero,CA,58,4,Colorado State,
Anthony ,Bonner,6,2,Lawrence,KS,59,4,Colorado State,
Deion,James,6,8,Tucson,AZ,60,4,Colorado State,
Logan,Ryan,6,9,Plymouth,MI,61,4,Colorado State,
J.D.,Paige,6,3,Denver,CO,62,4,Colorado State,
Kris,Martin,6,6,Frisco,TX,63,4,Colorado State,
Nico,Carvacho,6,11,Frisco,TX,64,4,Colorado State,
New,Williams,6,1,Inglewood,CA,65,5,Fresno State,
Jaron,Hopkins,6,6,Mesa,AZ,66,5,Fresno State,
Johnny,McWilliams,6,6,San Marcos,CA,67,5,Fresno State,
Braxton,Huggins,6,4,Bakersfield,CA,68,5,Fresno State,
Jahmel,Taylor,6,0,Los Angeles,CA,69,5,Fresno State,
Eric ,Vila,6,11,Girona,Spain,70,5,Fresno State,
Bryson,Williams,6,8,Fresno,CA,71,5,Fresno State,
Myles,Fitzgerald-Warren,6,3,Portland,OR,72,5,Fresno State,
Gilles,Dekoninck,6,6,Antwerp,Belguim,73,5,Fresno State,
Sam,Bittner,6,6,Las Vegas,NV,74,5,Fresno State,
Deshon,Taylor,6,2,Riverside,CA,75,5,Fresno State,
Ray,Bowles Jr.,6,5,Modesto,CA,76,5,Fresno State,
Nate ,Grimes,6,8,Las Vegas,NV,77,5,Fresno State,
Terrell,Carter II,6,10,Los Angeles,CA,78,5,Fresno State,
Lazaro,Rojas,6,11,Bahia,Brazil,79,5,Fresno State,
Noah,Blackwell,6,3,Roseville ,CA,80,5,Fresno State,
Tre'Shawn,Thurman,6,7,Omaha,NE,81,6,Nevada,
Charlie,Tooley,6,0,Granite Bay,CA,82,6,Nevada,
Corey,Henson,6,3,Upper Marlboro,MD,83,6,Nevada,
John,Jones,6,0,Baton Rouge,LA,84,6,Nevada,
Elijah,Cooks,6,4,Atascadero,CA,85,6,Nevada,
Nisre,Zouzoua,6,2,Brockton,MA,86,6,Nevada,
Caleb,Martin,6,7,Mocksville,NC,87,6,Nevada,
Cody,Martin,6,7,Mocksville,NC,88,6,Nevada,
Elijah,Foster,6,8,Seattle,WA,89,6,Nevada,
Hallice,Cooke,6,3,Union City,NJ,90,6,Nevada,
Lindsey,Drew,6,4,Encino ,CA,91,6,Nevada,
David,Cunningham,6,4,Sacramento,CA,92,6,Nevada,
Kendall,Stephens,6,7,Saint Charles,IL,93,6,Nevada,
Jazz,Johnson,5,10,Lake Oswego,OR,94,6,Nevada,
Jordan ,Caroline,6,7,Champaign,IL,95,6,Nevada,
Josh,Hall,6,7,Houston,TX,96,6,Nevada,
Justin,Brent,6,2,Speedway,IN,97,6,Nevada,
Devin ,Watson,6,1,Oceanside,CA,98,7,San Diego State,
Adam,Seiko,6,3,Boston,MA,99,7,San Diego State,
Trey,Kell,6,4,San Diego,CA,100,7,San Diego State,
Michael,Sohikish,5,9,San Diego,CA,101,7,San Diego State,
Jalen ,McDaniels,6,10,Federal Way ,WA,102,7,San Diego State,
Max,Montana,6,9,Calabasas,CA,103,7,San Diego State,
Matt ,Mitchell,6,6,Riverside,CA,104,7,San Diego State,
Patrick,Fisher,6,4,Carlsbad,CA,105,7,San Diego State,
Jordan ,Schakel,6,6,Torrance,CA,106,7,San Diego State,
Malik,Pope,6,10,Sacramento,CA,107,7,San Diego State,
Nolan,Narain,6,10,Hamilton,ON,108,7,San Diego State,
Montaque,Gill-Caesar,6,6,Vaughan,ON,109,7,San Diego State,
Jeremy ,Hemsley,6,3,Rancho Cucamonga,CA,110,7,San Diego State,
Kameron ,Rooks,7,1,San Marcos,CA,111,7,San Diego State,
Nai,Carlisle,6,2,West Lafayette,IN,112,8,San Jose State,
Walter,Graves III,6,7,Clovis ,CA,113,8,San Jose State,
Keith,Fisher III,6,8,Los Angeles,CA,114,8,San Jose State,
Isaiah,Nichols,6,5,Oxnard,CA,115,8,San Jose State,
Ryan ,Parilla,5,10,Union City,CA,116,8,San Jose State,
Caleb,Simmons,6,6,Vallejo ,CA,117,8,San Jose State,
Oumar,Barry,6,11,Conakry,Guinea,118,8,San Jose State,
Noah,Baumann,6,5,Phoenix,AZ,119,8,San Jose State,
Jalen ,James,6,4,Chicago,IL,120,8,San Jose State,
